op_time sequence_length batch_size num_layers num_units num_parallel_launches num_steps
0.019896974563598634 10 16 3 500 2 100
0.03827765703201294 10 16 3 1000 2 100
0.038354394435882566 10 16 3 1000 2 100
0.03753723382949829 10 16 3 1000 2 100
0.037795581817626954 10 16 3 1000 2 100
0.03836151361465454 10 16 3 1000 2 100
0.03864237070083618 10 16 3 1000 2 100
0.03644765377044678 10 16 3 1000 2 100
0.03780994415283203 10 16 3 1000 2 100
0.037866780757904055 10 16 3 1000 2 100
0.03542724847793579 10 16 3 1000 2 100
0.1046492600440979 10 16 3 2000 2 100
0.1047701358795166 10 16 3 2000 2 100
0.10488478899002075 10 16 3 2000 2 100
0.10360343217849731 10 16 3 2000 2 100
0.10433501958847045 10 16 3 2000 2 100
0.10465563297271728 10 16 3 2000 2 100
0.10220960140228272 10 16 3 2000 2 100
